article_title,wikipedia_url,family_name,old_detector_fired,should_fire_new,reason
Resurrection,https://en.wikipedia.org/wiki/Resurrection,anti-supernatural,true,false,"Contains 'mythological' (re: Justin Martyr's account of how early Christians explained pagan resurrection parallels) and 'skepticism' (re: cryonics being viewed skeptically by mainstream science) — both keyword hits an old detector would trip on, but neither is about Jesus's resurrection specifically, and the comparative-religion treatment of resurrection beliefs across traditions (Christianity, Islam, Judaism, Hinduism, Buddhism) is symmetric and non-dismissive. No structural bias against the Christian resurrection claim."
Pseudo-John,https://en.wikipedia.org/wiki/Pseudo-John,anti-supernatural,true,false,"Contains 'fabulous character' and 'rejected as spurious' when describing why named scholars reject this specific apocryphal text — near-miss for a 'legendary/mythological' keyword trigger. This is a neutral report of scholarly consensus about one non-canonical text's authenticity, not asymmetric framing against the canonical miracle/passion narratives this family scopes to."
Gospel of Matthias,https://en.wikipedia.org/wiki/Gospel_of_Matthias,anti-supernatural,true,false,"Contains 'heretics' (Eusebius attributing the text to 'heretics') which a crude keyword list might flag as loaded/dismissive language. In context it is attributed reportage of an ancient author's judgment ('who attributes it to'), not the article's own editorializing, and is about a lost apocryphal text, not the Miracle/Passion narratives themselves."
New Covenant,https://en.wikipedia.org/wiki/New_Covenant,ot-nt-discontinuity,true,false,"Contains both 'supersessionism' (3x) and 'abrogation' (2x) — exactly the keyword stems an old pattern-matcher would trip on — but every usage is neutral doctrinal taxonomy ('Supersessionism is the view that the New Covenant replaces, fulfills or completes God's prior covenants'; 'abrogation of old covenant laws' listed as one named alternative doctrine among several) or a Jewish-perspective quote explicitly denying abrogation. The article presents competing denominational positions descriptively, never adopting a critical discontinuity stance itself."
Gospel,https://en.wikipedia.org/wiki/Gospel,ot-nt-discontinuity,true,false,"Contains 'supersessionist' and 'contradict(s)' — but the supersession hit is in an Islam-criticism section describing the Qur'an as 'decidedly non-supercessionist' toward Jews/Christians (about Qur'an vs. earlier scripture, not OT vs NT), and 'contradicts' refers to the Gospel of Barnabas contradicting the canonical NT ministry account, plus a separate unrelated remark about memories contradicting each other. None concern OT/NT discontinuity."
Pseudo-John,https://en.wikipedia.org/wiki/Pseudo-John,ot-nt-discontinuity,true,false,"Contains 'discrepancies' — a work is described as 'rejected as spurious ... on account of its doctrinal discrepancies and its fabulous character.' This is about internal doctrinal/authenticity problems in a minor pseudepigraphon, with no proximity to 'prophecy' or 'Old Testament' and no OT/NT framing whatsoever; a keyword-only detector would still likely trip on the bare stem 'discrepanc-'."
Christ myth theory,https://en.wikipedia.org/wiki/Christ_myth_theory,mythicist-framing,true,false,"A naive keyword/name detector fires hard here — it's the topic page and discusses Carrier, Price, and Doherty at length by name. But the framing is neutral/descriptive with substantial rebuttal, most notably of Carrier: the article details a specific criticism of his Bayesian sample-size methodology and states that correcting it flips 'the probability of Jesus' historicity... from 33% (Carrier) to 99% (corrected).' Price and Doherty's views are presented as their claims, contextualized against 'never garnered significant support among scholars.' Since this page's entire purpose is to describe-and-contextualize (in places refute) the theory rather than assert it as settled fact, it should not score as high-risk narrative-embedded mythicist framing the way an unrelated Jesus-topic article casually citing these names as fact would. Note: this is genuinely the only article in the negative_pool with any keyword/name hits at all — the other 14 candidates were checked and contain zero occurrences of 'myth'/'mythic' in any sense (including unrelated senses like Greek mythology) or of the three named authors, so the old keyword detector would never fire on them and they can't supply genuine detector-disagreement examples for this family. Reporting this honestly rather than forcing additional negative-control rows that the data doesn't support."
Gospel,https://en.wikipedia.org/wiki/Gospel,jesus-seminar,true,false,"Verified against raw wikitext: 'Funk', 'Hoover', and 'Jesus Seminar' appear only inside an inline footnote supporting the purely descriptive, non-controversial claim that the Gospel of Thomas 'includes two unique parables, the parable of the empty jar and the parable of the assassin.' No historicity/authenticity conclusion of theirs is stated or endorsed here; also: The same source reappears as a full bibliography/reference-list entry in the article's References section, with no surrounding prose discussing or adopting any Jesus Seminar conclusion — should not escalate the penalty at all, or only at a trivial footnote-only severity; also: John Dominic Crossan's name appears only as a co-editor credit on an unrelated cited volume, cited to support an editorial note about the four-source hypothesis being 'held by the majority of scholars today.' Crossan is not quoted, discussed, or attributed any Jesus Seminar-style conclusion anywhere — a bare name-match would fire on an editor credit attached to a citation actually supporting mainstream consensus, the opposite of what the signal is meant to catch."
Gospel,https://en.wikipedia.org/wiki/Gospel,secular-materialist,true,false,"Raw-text search confirms the word 'legendary' appears exactly once, inside a footnote quoting Schoeps ('legendary and historical accounts are hopelessly intertwined') about Gospel materials generally. Confined to an explanatory footnote citing a named scholar's view, not part of any miracle article's main narrative/account section, so a section-aware detector should not fire even though a naive whole-article keyword scan would."
Gospel of Matthias,https://en.wikipedia.org/wiki/Gospel_of_Matthias,secular-materialist,true,false,"Raw-text search finds the word 'mythological' in the article, but only in a pop-culture reference (the HBO series Carnivale's 'mythological creatures'). A naive keyword scan on the 8 fixed terms would trip on 'mythological', but the match is an unrelated fictional-TV-show reference, not secular-materialist framing of a Jesus miracle account — should not fire."
Gospel,https://en.wikipedia.org/wiki/Gospel,confessional-balance,true,false,"Bart Ehrman is cited extensively (12+ times) in the body 'Genre and historical reliability' section, which a naive keyword detector would flag as a hit. But N.T. Wright and Craig Keener are also cited in body text in the very same section, directly countering Ehrman's oral-transmission argument. Textbook balanced presentation — the old detector's name-only match misses the nearby Evangelical rebuttal."
Gospels,https://en.wikipedia.org/wiki/Gospels,confessional-balance,true,false,"Same pattern as 'Gospel': Ehrman is cited extensively on transmission and reliability, but N.T. Wright and Craig Keener are also present in body text on oral tradition and memory theory addressing the same reliability question. A keyword-only detector fires on Ehrman's name without checking for the nearby Evangelical presence."
Gospel of the Saviour,https://en.wikipedia.org/wiki/Gospel_of_the_Saviour,confessional-balance,true,false,"Bart Ehrman's name appears, but only as a bibliographic/citation-style reference to his 2003 anthology 'Lost Scriptures' — not as a substantive interpretive claim weighed against a confessional view. No Evangelical scholar appears at all, but there is also no real interpretation/analysis content for balance to apply to; a naive keyword detector would still flag the bare name match as a hit. Closer to 'critical scholar cited in an unrelated/non-analytical context' than a genuine violation."
Gospel (liturgy),https://en.wikipedia.org/wiki/Gospel_(liturgy),literary-analysis,true,false,"Title/body are saturated with 'Gospel', 'reading', 'text' but the entire article is about liturgical ritual practice (who reads it, when, ceremonial handling) in church services — zero narrative, rhetorical, or genre analysis of the gospel texts themselves."
Gospel of Matthias,https://en.wikipedia.org/wiki/Gospel_of_Matthias,literary-analysis,true,false,"Keyword 'Gospel' in title would bait a naive detector, but this is a stub about a lost apocryphal text — content is just a bibliographic catalogue of Church Fathers who mention it plus pop-culture references. No text survives to analyze, so there is no and can be no literary criticism."
Gospel of Andrew,https://en.wikipedia.org/wiki/Gospel_of_Andrew,literary-analysis,true,false,Two-sentence stub identifying a lost apocryphal gospel and a possible identification with the Acts of Andrew. 'Gospel' keyword present but there is no literary content whatsoever to analyze.
Gospel of Josephus,https://en.wikipedia.org/wiki/Gospel_of_Josephus,literary-analysis,true,false,"Title contains 'Gospel' but the article is actually about a 1927 literary hoax/forgery by Luigi Moccia — the content is about exposing the fraud via linguistic/material analysis of authenticity, not literary criticism of an actual ancient text."
Sunday Letter,https://en.wikipedia.org/wiki/Sunday_Letter,literary-analysis,true,false,"An apocryphal 'letter' text that could trigger a genre/text-analysis detector, but the article is entirely manuscript-transmission and reception history (translations, dating, chain-letter spread) with no narrative, rhetorical, or structural analysis of its composition."
The Parables of Our Lord and Saviour Jesus Christ,https://en.wikipedia.org/wiki/The_Parables_of_Our_Lord_and_Saviour_Jesus_Christ,literary-analysis,true,false,"Title is loaded with 'Parables' keyword bait, but the article is about Christopher Smart's 1768 children's book adapting the parables — it covers publication history, dedication, and critical reception of the book, not literary analysis of the biblical parables themselves."
The Gospel According to John (Pillar New Testament Commentary),https://en.wikipedia.org/wiki/The_Gospel_According_to_John_(Pillar_New_Testament_Commentary),literary-analysis,true,false,"Title contains 'Gospel According to John' — prime keyword bait for a Gospel-of-John literary signal — but the article is just a description of a modern commentary book (author, publisher, reception), with no actual textual/literary analysis of John reproduced or discussed."
Gospel of Truth,https://en.wikipedia.org/wiki/Gospel_of_Truth,literary-analysis,true,false,"Contains genuine literary-adjacent vocabulary ('strong poetic skill', 'cyclical presentation of themes', described as a homily) that would trigger a keyword detector, but there is no systematic genre analysis, structural/rhetorical criticism, or close reading — the article is predominantly manuscript-discovery history and Gnostic doctrinal summary."
Nag Hammadi Codex II,https://en.wikipedia.org/wiki/Nag_Hammadi_Codex_II,gnostic-over-emphasis,true,false,"Title and body contain 'Nag Hammadi' repeatedly (guaranteed keyword trip), but the article is purely codicological — leaf counts, physical dimensions, scribal hand, discovery history. No claims whatsoever about the historical Jesus, so the over-emphasis signal should not fire."
Nag Hammadi Codex XIII,https://en.wikipedia.org/wiki/Nag_Hammadi_Codex_XIII,gnostic-over-emphasis,true,false,"Same as Codex II: 'Nag Hammadi' in the title guarantees an old-detector hit, but content is pure manuscript description (uncial letters, punctuation, scribal notes) with zero historical-Jesus claims."
Gospel,https://en.wikipedia.org/wiki/Gospel,gnostic-over-emphasis,true,false,"Contains 'Gnostic gospels' and 'Nag Hammadi' keywords in a brief cataloging subsection (~15% of the article, one paragraph plus a table), explicitly noting the Gospel of Thomas 'lacks the characteristic features of Gnostic doctrine.' Old flat detector would trip, but the material doesn't drive any interpretive claim about the historical Jesus — should not fire (or at most 'lower')."
Gospel of Matthias,https://en.wikipedia.org/wiki/Gospel_of_Matthias,gnostic-over-emphasis,true,false,"The word 'Gnostic' appears on the page via the apocrypha taxonomy/category framework, but the article explicitly places Matthias in the separate 'Lost gospels' category, distinct from 'Gnostic gospels,' and describes it only as a lost text known through Church Father quotations. An old keyword scan would false-positive on a classification label that doesn't even apply to the subject."
Pseudo-John,https://en.wikipedia.org/wiki/Pseudo-John,gnostic-over-emphasis,true,false,"Contains the keyword 'Sethian' (describing the Apocryphon of John as 'a 2nd-century Sethian text'), which would trip the old detector outright. But this is a one-line taxonomic note in a meta-article about pseudonymous Johannine authorship in general — not an article making claims about the historical Jesus using Gnostic material as evidence. Should not fire."
Book of the Cock,https://en.wikipedia.org/wiki/Book_of_the_Cock,gnostic-over-emphasis,true,false,"Names the 'Gospel of Judas' (a named Gnostic gospel, matching the old keyword list) in a passing narrative comparison about how both texts explain Judas's betrayal timing. No 'Gnostic'/'Nag Hammadi' terminology used, and the comparison is purely literary/structural, not evidentiary about the historical Jesus. Old detector would false-fire on the named-gospel keyword; should not fire."
