article_title,paragraph_index,paragraph_text,tier,notes
"Sermon on the Mount",1,"The Beatitudes (Matthew 5:3–12) open the sermon with eight blessings.","1","Descriptive of content"
"Sermon on the Mount",2,"The sermon is structured around six antitheses: 'You have heard that it was said – but I say to you.'","2","Structural analysis"
"Sermon on the Mount",3,"The Sermon on the Mount has been one of the most influential texts in Christian ethics.","3","Historical significance interpretation"
"Lord's Prayer",0,"The Lord's Prayer is a central Christian prayer which, according to the New Testament, Jesus taught as the way to pray.","1","Definition"
"Lord's Prayer",1,"The prayer appears in Matthew 6:9–13 and Luke 11:2–4 in slightly different forms.","2","Synoptic comparison"
"Lord's Prayer",2,"The doxology 'for yours is the kingdom and the power and the glory forever' is absent from the earliest Greek manuscripts.","2","Text-critical analysis"
"Parable of the Good Samaritan",0,"The Parable of the Good Samaritan is a parable of Jesus recounted in the Gospel of Luke.","1","Definition and location"
"Parable of the Good Samaritan",1,"It tells of a traveller who is stripped, beaten, and left for dead. A priest and a Levite pass by, but a Samaritan stops to help.","1","Descriptive paraphrase"
"Parable of the Good Samaritan",2,"The parable has been interpreted as teaching that neighbourly love transcends ethnic and religious boundaries.","3","Theological interpretation"
"Pool of Bethesda",0,"The Pool of Bethesda is a pool in Jerusalem known from the Gospel of John 5:2.","1","Definition with verse reference"
"Pool of Bethesda",1,"Archaeological excavations in the 19th century identified a double pool structure north of the Temple Mount.","1","Archaeological data point"
"Pool of Bethesda",2,"The identification of the site has been debated, though most archaeologists accept it.","3","Scholarly debate about interpretation"
"Caesarea Maritima",0,"Caesarea Maritima was an ancient Roman city on the Mediterranean coast of present-day Israel.","1","Encyclopaedic lede"
"Caesarea Maritima",1,"The Pilate inscription, a limestone block discovered at Caesarea Maritima in 1961, confirms Pilate's title as praefectus.","1","Archaeological data"
"Sea of Galilee",0,"The Sea of Galilee is a freshwater lake in Israel through which the Jordan River flows.","1","Geographical description"
"Sea of Galilee",1,"Many of Jesus's miracles in the gospels take place on or around the Sea of Galilee.","1","Neutral observation"
"Herod Antipas",0,"Herod Antipas was a 1st-century ruler of Galilee and Perea, bearing the title of tetrarch.","1","Biographical lede"
"Herod Antipas",1,"He is mentioned in the gospels as responsible for the execution of John the Baptist and as playing a role in the trial of Jesus.","1","Citation of gospel accounts"
"Herod Antipas",2,"The role Herod Antipas played in Jesus's trial has been variously evaluated.","3","Interpretive evaluation"
"Pontius Pilate",0,"Pontius Pilate was the fifth governor of the Roman province of Judaea, serving under Emperor Tiberius from AD 26 to 36.","1","Biographical lede"
"Pontius Pilate",1,"The sources for Pilate's life include the gospels, the works of Josephus, Philo, and Tacitus.","1","Source listing"
"Pontius Pilate",2,"Scholarly assessments of Pilate have varied considerably.","3","Historiographical evaluation"
"Nativity of Jesus",0,"The nativity of Jesus is described in the gospels of Matthew and Luke.","1","Neutral lede"
"Nativity of Jesus",1,"Matthew and Luke agree that Jesus was born in Bethlehem during the reign of Herod the Great, but differ on many details.","2","Synoptic comparison"
"Nativity of Jesus",2,"Most scholars regard the nativity narratives as primarily theological rather than historical.","3","Interpretive — scholarly consensus"
"Last Supper",0,"The Last Supper is the final meal that Jesus shared with his apostles in Jerusalem before his crucifixion.","1","Definition"
"Last Supper",1,"The Synoptic Gospels present it as a Passover meal, while the Gospel of John places it before the Passover.","2","Synoptic comparison"
"Last Supper",2,"The Last Supper provides the scriptural basis for the Eucharist.","3","Theological interpretation"
"Apostle Paul",0,"Paul (born Saul of Tarsus; c. 5 – c. 64 or 67), commonly known as Paul the Apostle, was a Christian apostle who spread the teachings of Jesus in the first-century world.","1","Biographical lede"
"Apostle Paul",1,"Fourteen of the twenty-seven books in the New Testament have traditionally been attributed to Paul.","1","Neutral fact"
"Apostle Paul",2,"Seven of the Pauline epistles are undisputed by scholars as being authentic.","3","Scholarly consensus about authenticity"
"Mary Magdalene",0,"Mary Magdalene was a woman who, according to the four canonical gospels, travelled with Jesus as one of his followers and was a witness to his crucifixion and resurrection.","1","Biographical lede"
"Mary Magdalene",1,"The Gospel of John names her as the first witness to the resurrected Jesus.","1","Citation of source"
"Mary Magdalene",2,"Mary Magdalene is considered by some as having been an apostle to the apostles.","3","Interpretive — theological claim"
"Gospel of Thomas",0,"The Gospel of Thomas is a non-canonical early Christian text discovered near Nag Hammadi, Egypt, in 1945.","1","Definition and discovery"
"Gospel of Thomas",1,"It consists of 114 sayings attributed to Jesus.","1","Descriptive of content"
"Gospel of Thomas",2,"Its relationship to the Synoptic Gospels is debated: some scholars date its core to the first century.","3","Scholarly debate"
"Pharisees",0,"The Pharisees were a Jewish social movement and a school of thought in the Levant during the time of Second Temple Judaism.","1","Definition"
"Pharisees",1,"Josephus describes the Pharisees as the most accurate interpreters of the laws.","1","Citation of source"
"Pharisees",2,"The New Testament portrayal of the Pharisees as legalistic hypocrites has been re-evaluated by modern scholars.","3","Historiographical re-evaluation"
"Sadducees",0,"The Sadducees were a Jewish sect active in Judea during the Second Temple period.","1","Definition"
"Sadducees",1,"Josephus says they rejected the resurrection of the dead and held only the written Torah as authoritative.","1","Citation of Josephus"
"Essenes",0,"The Essenes were a Jewish sect that flourished from the 2nd century BCE to the 1st century CE.","1","Definition"
"Essenes",1,"The Dead Sea Scrolls, discovered at Qumran, are widely attributed to the Essenes.","1","Archaeological attribution"
"Essenes",2,"The precise relationship between the Essenes and early Christianity continues to be debated.","3","Interpretive debate"
"Council of Jerusalem",0,"The Council of Jerusalem, described in Acts 15, was a meeting around 50 CE between Paul, Barnabas, and the Jerusalem church leaders.","1","Definition"
"Council of Jerusalem",1,"The council decided that Gentile converts were not required to be circumcised.","1","Descriptive of outcome"
"Council of Jerusalem",2,"The decision of the council is considered a watershed moment in the history of Christianity.","3","Historical significance interpretation"
"Sanhedrin trial of Jesus",0,"The Sanhedrin trial of Jesus refers to the trial of Jesus before the Sanhedrin, a Jewish judicial body, following his arrest in Jerusalem.","1","Definition"
"Sanhedrin trial of Jesus",1,"The accounts in the gospels differ in details. Mark places the trial at night, which some scholars note conflicts with Mishnaic law.","2","Source comparison and historical analysis"
"Sanhedrin trial of Jesus",2,"Scholars debate the historicity of the trial, with some viewing it as a theological construct.","3","Scholarly debate"
"Empty tomb",0,"The empty tomb is the Christian tradition that the tomb of Jesus was found empty on the third day after his crucifixion.","1","Definition"
"Empty tomb",1,"All four gospels report that women were the first to discover the empty tomb.","1","Citation of source"
"Empty tomb",2,"The fact that women are the primary witnesses — in a culture where their testimony was considered unreliable — has been used as an argument for the tradition's authenticity.","3","Interpretive argument about historicity"
"Ascension of Jesus",0,"The Ascension of Jesus is the Christian teaching that Christ physically departed from Earth by rising to Heaven.","1","Definition"
"Ascension of Jesus",1,"Luke 24:50-53 and Acts 1:9-11 describe the ascension as occurring forty days after the resurrection.","1","Citation of source"
"Ascension of Jesus",2,"The ascension has been understood theologically as Christ's exaltation and enthronement at the right hand of God.","3","Theological interpretation"
"Jerusalem",0,"Jerusalem is a city in the Middle East located on a plateau in the Judaean Mountains between the Mediterranean and the Dead Sea.","1","Geographical definition"
"Jerusalem",1,"The city is central to the narratives of the gospels, particularly the events of Jesus's final week.","1","Relevance to topic"
"Jerusalem",2,"The city holds profound significance for all three Abrahamic faiths.","3","Interpretive significance claim"
"Bethlehem",0,"Bethlehem is a city in the West Bank, Palestine, located about 10 km south of Jerusalem.","1","Geographical definition"
"Bethlehem",1,"According to the gospels of Matthew and Luke, Bethlehem is the birthplace of Jesus.","1","Citation of source"
"Bethlehem",2,"Archaeological evidence for Bethlehem as a settled town in the 1st century has been questioned by some scholars.","3","Interpretive — scholarly challenge"
"Nazareth",0,"Nazareth is the largest city in the Northern District of Israel.","1","Geographical definition"
"Nazareth",1,"In the New Testament, Nazareth is described as the childhood home of Jesus.","1","Citation of source"
"Nazareth",2,"Archaeological excavations at Nazareth have revealed limited evidence of settlement in the early Roman period.","1","Archaeological data point"
"Temple in Jerusalem",0,"The Temple in Jerusalem was one of a series of structures located on the Temple Mount.","1","Definition"
"Temple in Jerusalem",1,"Herod the Great began a massive expansion of the Second Temple around 20 BCE.","1","Historical data"
"Temple in Jerusalem",2,"The gospels present Jesus's action in the Temple — the 'cleansing' — as a pivotal event that precipitated his arrest.","3","Interpretive claim about significance"
"Olivet Discourse",0,"The Olivet Discourse is the name given to Jesus's teaching on the Mount of Olives about the end times.","1","Definition"
"Olivet Discourse",1,"It appears in all three Synoptic Gospels: Mark 13, Matthew 24-25, and Luke 21.","1","Citation of sources"
"Olivet Discourse",2,"Matthew's version expands Mark's with additional parables: the Wise and Foolish Virgins, the Talents, and the Sheep and Goats.","2","Synoptic comparison"
"Olivet Discourse",3,"Interpretations of the discourse range from preterist (fulfilled in AD 70) to futurist (still to come).","3","Interpretive — range of interpretations"
"Parable of the Prodigal Son",0,"The Parable of the Prodigal Son is a parable of Jesus recounted in Luke 15:11–32.","1","Definition"
"Parable of the Prodigal Son",1,"The parable tells of a father with two sons. The younger demands his inheritance, leaves, squanders it, and returns destitute.","1","Descriptive paraphrase"
"Parable of the Prodigal Son",2,"The parable uses the structure of a double denouement: the younger son's return is the expected climax, but the older son's angry response creates a second, open-ended climax.","2","Literary analysis"
"Parable of the Sower",0,"The Parable of the Sower is a parable of Jesus found in all three Synoptic Gospels.","1","Definition"
"Parable of the Sower",1,"The parable describes a sower who scatters seed on four types of ground: the path, rocky ground, thorns, and good soil.","1","Descriptive paraphrase"
"Parable of the Sower",2,"The allegorical interpretation identifies the seed as the word of God and the soils as different responses to it.","3","Interpretive — allegorical meaning"
"Feeding the multitude",0,"The feeding of the five thousand is a miracle of Jesus reported in all four gospels.","1","Definition"
"Feeding the multitude",1,"The Synoptics place the event near Bethsaida, while John locates it on the eastern shore of the Sea of Galilee.","2","Source comparison"
"Feeding the multitude",2,"Scholars debate whether the event should be understood as a literal miracle or a symbolic narrative.","3","Interpretive debate"
"Codex Sinaiticus",0,"Codex Sinaiticus is a 4th-century manuscript of the Greek Bible, containing the earliest complete copy of the New Testament.","1","Definition"
"Codex Sinaiticus",1,"It was discovered by Constantin von Tischendorf at Saint Catherine's Monastery on Mount Sinai in the 19th century.","1","Historical data"
"Codex Sinaiticus",2,"The codex is written in four columns to the page and includes both the Septuagint and the New Testament.","1","Codicological description"
"Codex Vaticanus",0,"Codex Vaticanus is a 4th-century manuscript of the Greek Bible.","1","Definition"
"Codex Vaticanus",1,"It has been housed in the Vatican Library since at least the 15th century.","1","Historical data"
"Codex Vaticanus",2,"Together with Codex Sinaiticus, it is one of the two most important witnesses to the text of the New Testament.","3","Interpretive — significance evaluation"
"Johannine Comma",0,"The Johannine Comma is a clause found in 1 John 5:7-8 in some later manuscripts.","1","Definition"
"Johannine Comma",1,"It appears in no Greek manuscript before the 14th century.","1","Textual data"
"Johannine Comma",2,"Its inclusion is a well-documented example of textual corruption driven by theological pressure.","3","Interpretive — evaluation of cause"
"Didache",0,"The Didache, also known as The Teaching of the Twelve Apostles, is a brief early Christian treatise.","1","Definition"
"Didache",1,"It contains instructions on baptism, fasting, prayer, and the Eucharist.","1","Descriptive of content"
"Didache",2,"Its precise relationship to the canonical gospels remains unclear, with scholars debating whether it represents independent tradition or distillation.","3","Interpretive debate"
"Irenaeus",0,"Irenaeus was a Greek bishop of Lugdunum in Gaul who lived in the 2nd century.","1","Biographical lede"
"Irenaeus",1,"His work Against Heresies is a major source for understanding early Christian diversity and the development of orthodoxy.","3","Interpretive — significance evaluation"
"Nag Hammadi library",0,"The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered in Upper Egypt in 1945.","1","Definition"
"Nag Hammadi library",1,"The discovery included the Gospel of Thomas, the Gospel of Philip, and the Apocryphon of John.","1","Descriptive of contents"
"Nag Hammadi library",2,"The texts have been heralded as revolutionary, but their impact on New Testament studies is contested.","3","Interpretive debate"
